hisco,en_text,hisclass,hisclass_5,socpo,hiscam
2630,Physical Metallurgist,,,,
2690,Other Metallurgists,,,,
2700,Mining Engineers,,,,
2710,"Mining Engineer, General",2,1,5,82.58
2720,CoalMining Engineer,,,,
2730,MetalMining Engineer,,,,
2740,Petroleum and Natural Gas Engineer,1,1,5,82.58
2790,Other Mining Engineers,,,,
2800,Industrial Engineers,2,1,5,82.58
2810,"Industrial Efficiency Engineer, General",,,,
2820,Methods Engineer,,,,
2830,Time and Motion Study Engineer,,,,
2890,Other Industrial Engineers,2,1,5,82.58
2900,Engineers Not Elsewhere Classified,2,1,5,82.58
2920,Ceramics and Glass Technologist,2,1,5,82.58
2930,Agricultural Engineer,2,1,5,82.58
2940,Food and Drink Technologist,,,,
2950,Traffic Planner,,,,
2990,Other Engineers,2,1,5,82.58
3000,Surveyors,,,,
3010,"Surveyor, General",4,2,5,80.52
3020,Land Surveyor,4,2,5,78.43
3030,Mine Surveyor,4,2,5,82.58
3040,Hydrographic Surveyor,,,,
3050,Photogrammetrist,,,,
3090,Other Surveyors,4,2,5,84.26
3100,Draughtsmen,,,,
3110,"Draughtsman, General",4,2,42,74.34
3120,Mechanical Draughtsman,4,2,42,73.23
3130,Electrical Draughtsman,4,2,42,74.34
3140,Civil Engineering Draughtsman,4,2,42,74.34
3150,Architectural Draughtsman,4,2,42,74.34
3160,Cartographical Draughtsman,4,2,42,74.34
3170,Technical Illustrator,4,2,42,82.58
3180,Lithographic Artist,,,,
3190,Other Draughtsmen,4,2,42,76.18
3200,"Technician, Specialisation Unknown",4,2,42,76.18
3300,Civil Engineering Technicians,,,,
3310,"Civil Engineering Technician, General",4,2,42,73.62
3320,Quantity Surveyor,,,,
3330,Surveyor's Technician,4,2,42,84.26
3340,Clerk of Works,4,2,42,82.58
3390,Other Civil Engineering Technicians,4,2,42,84.26
3400,Electrical and Electronics Engineering Technicians,,,,
3405,"Electrical Engineering Technician, General",4,2,42,82.13
3410,"Electronics Engineering Technician, General",,,,
3420,Electrical Engineering Technician (High Voltage),,,,
3430,Telecommunications Technician,4,2,3,76.18
3490,Other Electrical and Electronics Engineering Technicians,4,2,42,82.58
3500,Mechanical Engineering Technicians,,,,
3510,"Mechanical Engineering Technician, General",4,2,42,75.59
3520,Mechanical Engineering Technician (Motors and Engines),4,2,42,82.58
3530,Aeronautical Engineering Technician,4,2,42,75.59
3540,Automotive Engineering Technician,4,2,42,82.58
3550,"Heating, Ventilation and Refrigeration Engineering Technician",4,2,42,82.58
3590,Other Mechanical Engineering Technicians,4,2,42,74.34
3600,Chemical Engineering Technicians,4,2,42,76.18
3610,"Chemical Engineering Technical, General",4,2,42,76.18
3620,Chemical Engineering Technician (Petroleum),4,2,42,82.58
3690,Other Chemical Engineering Technicians,4,2,42,76.18
3700,"Metallurgical Technician, Specialisation Unknown",4,2,42,76.18
3720,Extractive Metallurgy Technician,4,2,42,76.18
3730,Physical Metallurgy Technician,4,2,42,76.18
3790,Other Metallurgical Technicians,4,2,42,76.18
3800,Mining Technicians,4,2,42,76.18
3810,"Mining Technician, General",4,2,42,76.18
3820,Petroleum and Natural Gas Extraction Technician,4,2,42,76.18
3890,Other Mining Technicians,,,,
3900,Engineering Technicians Not Elsewhere Classified,,,,
3920,Production Engineering Technician,4,2,42,76.18
3930,Time and Motion Study Technician,,,,
3990,Other Engineering Technicians,4,2,42,76.18
4000,Aircraft and Ships' Officers,,,,
4100,"Aircraft Pilots, Navigators and Flight Engineers",,,,
4120,Air Transport Pilot,,,,
4125,Aircraft Pilot (Transport or Other Purposes),2,1,5,49.81
4130,Aircraft Pilot (except Transport),2,1,5,49.81
4140,Flight Navigator,,,,
4150,Flight Engineer,,,,
4160,Flying Instructor,,,,
4200,"Shipsâ€™ Deck Officer or Pilot, Specialisation Unknown",3,2,5,49.81
4215,Ship's Master (Sea),3,2,5,78.25
4217,Shipâ€™s Master (Sea or Inland Waterways),3,2,42,49.81
4220,Ship's Master (Inland Waterways),3,2,42,56.06
4230,Ship's Navigating Officer,3,2,42,66.7
4240,Ship Pilot,4,2,42,66.47
4250,Marine Superintendent (Deck),3,2,42,51.95
4290,Other Ships' Deck Officers and Pilots,3,2,3,49.81
4300,Ships' Engineers,,,,
4315,Ship's Chief Engineer,,,,
4320,Marine Engineer Officer,2,1,42,51.95
4330,Marine Superintendent (Technical),,,,
5000,Life Scientists and Related Technicians,,,,
5100,"Biologists, Zoologists and Related Scientists",,,,
5110,"Biologist, General",2,1,5,94.44
5120,Botanist,2,1,5,94.44
5130,Zoologist,2,1,5,99
5190,"Other Biologists, Zoologists and Related Scientists",2,1,5,94.44
5200,"Bacteriologists, Pharmacologists and Related Scientists",,,,
5220,Anatomist,,,,
5230,Biochemist,,,,
5240,Physiologist,,,,
5250,Bacteriologist,,,,
5260,Medical Pathologist,,,,
5265,Veterinary Pathologist,,,,
5270,Pharmacologist,,,,
5280,Animal Scientist,,,,
5290,"Other Bacteriologists, Pharmacologists and Related Scientists",,,,
5300,Agronomists and Related Scientists,,,,
5320,Agronomist,2,1,5,96.12
5330,Horticulturist,2,1,5,94.61
5340,Silviculturist,2,1,5,96.12
5350,Soil Scientist,2,1,5,96.12
5360,Farming Adviser,4,2,5,96.12
5390,Other Agronomists and Related Scientists,2,1,5,96.12
5400,"Life Science Technician, Specialisation Unknown",4,2,42,91.58
5420,Biological Technician,4,2,42,96.12
5430,Medical Science Technician,,,,
5490,Other Life Sciences Technicians,4,2,42,
6100,"Medical Doctor, Specialisation Unknown",2,1,5,92.87
6105,General Physician,2,1,5,92.87
6110,General Surgeon,2,1,5,92.87
6120,Specialised Physician,2,1,5,92.87
6130,Specialised Surgeon,,,5,92.87
6140,Public Health Physician,2,1,5,92.87
6190,Other Medical Doctors,2,1,5,92.87
6200,Medical Assistants,,,,
6210,Medical Assistant,4,2,42,69.15
6300,Dentists,,,,
6310,"Dentist, General",2,1,5,89.61
6320,Specialised Dentist,,,,
6330,Public Health Dentist,,,,
6400,Dental Assistants,,,,
6420,Dental Assistant,5,2,42,59.29
6430,School Dental Assistant,,,,
6440,Dental Hygienist,,,,
6500,Veterinarians,,,,
6510,"Veterinarian, General",2,1,5,69.47
6520,Public Health Veterinarian,2,1,5,88.05
6590,Other Veterinarians,2,1,5,88.05
6600,Veterinary Assistants,,,,
6610,Veterinary Assistant,4,2,42,88.05
6700,Pharmacists,,,,
6710,Pharmacist,2,1,5,86.45
6800,Pharmaceutical Assistants,,,,
6810,Pharmaceutical Assistant,4,2,42,59.29
6900,Dietitians and Public Health Nutritionists,,,,
6910,"Dietitian, General",,,,
6920,Public Health Nutritionist,,,,
6990,Other Dietitians and Public Health Nutritionists,2,1,42,59.29
7100,Professional Nurses,,,,
7110,"Professional Nurse, General",4,2,42,69.15
7120,Specialised Nurse,4,2,42,69.15
7130,Public Health Nurse,4,2,42,69.15
7140,Occupational Health Nurse,,,,
7190,Other Professional Nurses,,,,
7200,Nursing Personnel Not Elsewhere Classified,,,,
7210,Auxiliary Nurse,9,3,2,69.15
7300,Professional Midwives,,,,
7310,Professional Midwife,4,2,42,55.54
7400,Midwifery Personnel Not Elsewhere Classified,,,,
7410,Auxiliary Midwife,9,3,3,49.65
7500,Optometrists and Opticians,,,,
7520,Optometrist,2,1,42,88.05
7530,Dispensing Optician,4,2,5,92.87
7600,Physiotherapists and Occupational Therapists,,,,
7620,Physiotherapist,4,2,42,59.29
7630,Occupational Therapist,,,,
7640,Masseur,9,3,2,59.29
7700,Medical XRay Technicians,,,,
7710,Medical XRay Technician,4,2,3,69.15
7900,"Medical, Dental, Veterinary and Related Workers Not Elsewhere Classified",,,,
7920,Osteopath,,,,
7930,Chiropractor,4,2,42,56.45
7940,Sanitarian,,,,
7950,Orthopaedic Technician,,,,
7990,"Other Medical, Dental, Veterinary and Related Workers",4,2,2,56.45
8000,"Statisticians, Mathematicians, Systems Analysts and Related Technicians",,,,
8100,Statisticians,,,,
8110,"Statistician, General",,,,
8120,Mathematical Statistician,,,,
8130,Statistician (Applied Statistics),2,1,42,87.02
8200,Mathematicians and Actuaries,,,,
8220,Mathematician (Pure Mathematics),2,1,5,87.02
8230,Mathematician (Applied Mathematics),2,1,5,87.02
8240,OperationsResearch Analyst,,,,
8250,Actuary,2,1,42,87.02
8300,Systems Analysts,,,,
8310,Systems Analyst,,,,
8400,Statistical and Mathematical Technicians,,,,
8420,Computer Programmer,,,,
8490,Other Statistical and Mathematical Technicians,2,1,42,87.02
9000,Economists,,,,
9010,"Economist, General",2,1,5,87.02
9020,"Economist, Specialised",2,1,5,99
9030,Market Research Analyst,2,1,5,99
11000,Accountants,,,,
11010,"Accountant, General",2,1,5,77.81
11020,Auditor,2,1,5,77.81
11090,Other Accountants,,,,
12000,"Jurist, Specialization Unknown",2,1,5,99
12100,Lawyers,,,,
12110,Lawyer,2,1,5,99
12200,Judges,,,,
12210,Judge,2,1,5,99
12300,Notaries,,,,
12310,Notary,2,1,5,99
12400,Solicitors,,,,
12410,Solicitor,2,1,5,96.02
12900,Jurists Not Elsewhere Classified,,,,
12910,"Jurist (except Lawyer, Judge or Solicitor)",2,1,5,96.23
13000,"Teacher, Level and Subject Unknown",2,1,42,82.44
13020,"Teacher, Level and Subject Unknown, Not University and Higher Education Level",2,1,42,66.7
13030,"Teacher, Level and Subject Unknown, Not Primary Education",2,1,42,78.08
13100,"University and Higher Education Teacher, Subject Unknown",2,1,5,99
13120,Teacher in Physical Sciences (Third Level),2,1,5,99
13125,Teacher in Engineering and Architecture (Third Level),2,1,5,99
13130,Teacher in Life and Medical Sciences (Third Level),2,1,5,99
13140,Teacher in Mathematics (Third Level),2,1,5,99
13145,Teacher in Economics and Commerce (Third Level),2,1,5,99
13150,Teacher in Law (Third Level),2,1,5,99
13155,Teacher in Education (Third Level),2,1,5,99
13160,Teacher in Agricultural Science (Third Level),2,1,5,99
13165,"Teacher in History, Philosophy, Sociology and Related Social Sciences (Third Level)",2,1,5,99
13170,Teacher in Languages and Literature (Third Level),2,1,5,99
13175,"Teacher in Medical Therapy, Advanced Nursing and Related Arts",,,,
13180,Teacher in Industrial Arts (Third Level),,,,
13190,Other University and Higher Education Teachers,2,1,5,99
13200,"Secondary Education Teacher, Subject Unknown",2,1,42,86.41
13215,Languages and Literature Teacher (Second Level),2,1,42,85.23
13220,Mathematics Teacher (Second Level),2,1,42,85.23
13230,Natural Science Teacher (Second Level),2,1,42,85.23
13240,Social Studies Teacher (Second Level),,,,
13250,Fine Arts Teacher (Second Level),2,1,42,80.88
13260,Commercial and Secretarial Teacher (Second Level),2,1,42,85.23
13270,Agricultural Science Teacher (Second Level),2,1,42,85.23
13275,Domestic Science and General Nursing Teacher,2,1,42,86.41
13280,Technical Education Teacher (Second Level),2,1,42,85.23
13290,Other Secondary Education Teachers,2,1,42,85.23
13300,Primary Education Teachers,,,,
13320,FirstLevel Education Teacher,4,2,42,67.88
13390,Other Primary Education Teachers,4,2,42,70.16
13400,PrePrimary Education Teachers,,,,
13420,Kindergarten Teacher,4,2,42,80.65
13490,Other PrePrimary Education Teachers,5,2,42,80.65
13500,Special Education Teachers,,,,
13520,Teacher of the Blind,4,2,42,70.16
13530,Teacher of the Deaf,4,2,42,70.16
13540,Teacher of the Mentally Handicapped,,,,
13590,Other Special Education Teachers,4,2,42,80.65
13900,Teachers Not Elsewhere Classified,,,,
13920,Education Methods Adviser,,,,
13930,AudioVisual and Other Teaching Aid Specialist,,,,
13940,Head Teacher,1,1,5,81.63
13950,School Inspector,2,1,42,81.63
13960,Governess,2,1,42,73.2
13990,Other Teachers,2,1,42,74.54
14100,Ministers of Religion and Related Members of Religious Orders,2,1,5,95.41
14120,Minister of Religion,2,1,5,97.7
14130,Missionary,4,2,5,67.76
14140,Religious Worker (Member of Religious Order),4,2,42,97.7
14190,Other Ministers of Religion and Related Members of Religious Orders,2,1,5,97.7
14900,Workers in Religion Not Elsewhere Classified,,,,
14920,Faith Healer,,,,
14990,Other Workers in Religion,2,1,5,66.3
15100,Authors and Critics,,,,
15120,Author,2,1,5,79.8
15130,Critic,2,1,42,83.43
15900,"Author, Journalist or Related Writer, Specialisation Unknown",2,1,5,83.43
15915,Journalist,2,1,42,86.98
15920,"Editor, Newspapers and Periodicals",2,1,42,82.12
15925,"SubEditor, Newspapers and Periodicals",4,2,42,83.43
15930,Reporter,,,,
15935,Radio and Television Journalist,,,,
15940,Continuity and Script Editor,,,,
15945,Book Editor,,,,
15950,Advertising Copywriter,2,1,42,81.62
15955,Public Relations Officer,2,1,42,83.43
15960,Publicity Writer,2,1,42,80.5
15965,Technical Writer,,,,
15990,"Other Authors, Journalists and Related Writers",2,1,42,81.62
16000,"Sculptor, Painter, Photographer or Related Creative Artist, Specialisation Unknown",4,2,42,70.41
16100,"Sculptors, Painters and Related Artists",4,2,42,78.33
16120,Sculptor,4,2,42,67.33
16130,"Painter, Artist",4,2,42,84.2
16140,Cartoonist,,,,
16150,Engraver and Etcher (Artistic),4,2,3,69.43
16160,Painting Restorer,4,2,42,77.88
16190,"Other Sculptors, Painters and Related Artists",4,2,3,74.04
16200,"Commercial Artist or Designer, Specialisation Unknown",4,2,42,71.94
16220,Commercial Artist,4,2,42,74.04
16230,Interior Decoration Designer,2,1,42,71.94
16240,Industrial and Commercial Products Designer,4,2,42,74.04
16250,Display Artist,4,2,42,75.44
16290,Other Commercial Artists and Designers,4,2,42,71.94
16300,Photographers and Cameramen,,,,
16310,"Photographer, General",4,2,42,71.94
16320,Portrait Photographer,,,,
16330,"Photographer, Commercial Illustrator",,,,
16340,News Photographer,4,2,42,71.94
16350,Director of Photography (Motion Picture),,,,
16360,Motion Picture Camera Operator,,,,
16370,Television Camera Operator,,,,
16390,Other Photographers and Cameramen,4,2,42,71.94
17000,"Composer or Performing Artist, Specialisation Unknown",4,2,42,64.37
17100,"Composers, Musicians and Singers",2,1,42,78.48
17120,Composer,2,1,42,78.48
17130,Orchestrator,2,1,5,63.79
17135,Orchestra and Band Conductor,3,2,42,64.37
17140,Instrumentalist,4,2,42,63.79
17145,Singer,4,2,42,68.98
17150,Vocal Group Conductor,4,2,42,64.37
17190,"Other Composers, Musicians and Singers",2,1,3,63.79
17200,Choreographers and Dancers,,,,
17220,Choreographer,,,,
17230,Dancer,4,2,42,64.37
17300,Actors and Stage Directors,,,,
17320,Actor,4,2,42,63.79
17330,Stage Director,1,1,42,63.79
17340,"Motion Picture, Radio and Television Director",,,,
17350,StoryTeller,4,2,42,63.79
17390,Other Actors and Stage Directors,4,2,42,63.79
17400,"Producers, Performing Arts",,,,
17420,Theatrical Producer,,,,
17430,Motion Picture Producer,,,42,63.79
17440,Radio and Television Producer,,,,
17490,"Other Producers, Performing Arts",,,,
17500,Circus Performers,,,,
17520,Clown,4,2,3,63.79
17530,Magician,4,2,3,63.79
17540,Acrobat,7,3,3,63.79
17550,Aerialist,,,,
17590,Other Circus Performers,7,3,2,63.79
17900,Performing Artists Not Elsewhere Classified,,,,
17920,Radio and Television Announcer,5,2,42,50.63
17930,CompÃ¨re,,,,
17940,Town Cryer,5,2,2,64.37
17990,Other Performing Artists,4,2,3,61.84
18000,"Athletes, Sportsmen and Related Workers",,,,
18020,Professional Sportsman,9,3,3,64.37
18030,Sports Coach,4,2,3,64.37
18040,Sports Official,,,,
18050,Physical Trainer,4,2,3,63.18
18090,"Other Athletes, Sportsmen and Related Workers",5,2,3,64.37
19000,"Professional, Technical and Related Workers Not Elsewhere Classified",,,,
19100,"Librarians, Archivists and Curators",,,,
19120,Librarian,4,2,42,87.02
19130,Archivist,4,2,42,87.02
19140,Art Gallery and Museum Curator,2,1,42,87.02
19190,"Other Librarians, Archivists and Curators",4,2,3,87.02
19200,"Sociologists, Anthropologists and Related Scientists",,,,
19220,Sociologist,,,,
19230,Psychologist,2,1,5,99
19240,Anthropologist,,,,
19250,Geographer,2,1,5,87.02
19260,Historian,2,1,42,99
19270,Political Scientist,,,,
19290,"Other Sociologists, Anthropologists and Related Scientists",2,1,5,87.02
19300,Social Workers,,,,
19310,"Social Worker, General",4,2,4,99
19320,Social Welfare Worker,,,,
19330,Culture Centre Worker,4,2,42,99
19340,"Social Worker, Delinquency",4,2,42,99
19350,Psychiatric Social Worker,4,2,42,69.15
19390,Other Social Workers,4,2,42,87.02
19400,Personnel and Occupational Specialists,,,,
19420,Personnel Specialist,4,2,42,87.02
19430,Vocational Guidance Counsellor,2,1,42,87.02
19440,Occupational Analyst,2,1,5,87.02
19490,Other Personnel and Occupational Specialists,4,2,42,87.02
19500,"Philologists, Translators and Interpreters",,,,
19520,Philologist,2,1,5,87.02
19530,Translator,4,2,42,87.02
19540,Interpreter,2,1,42,87.02
19900,"Other Professional, Technical and Related Workers",,,,
19920,Patent Agent,,,,
19930,Home Economist,4,2,42,74.54
19940,Advertising Account Executive,3,2,42,74.54
19950,Underwriter,,,,
19960,Astrologer and Fortune Teller,5,2,1,87.02
19990,"Other Professional, Technical and Related Workers Not Elsewhere Classified",4,2,42,87.02
20000,Legislative Officials and Government Administrators,,,,
20100,Legislative Officials,,,,
20110,Legislative Official,1,1,5,93.36
20200,Government Administrators,,,,
20210,Government Administrator,1,1,5,87.77
21000,"Manager, Specialisation Unknown",3,2,5,77.79
21100,General Managers,,,,
21110,General Manager,1,1,5,84.88
21200,Production Managers,3,2,5,84.88
21220,Production Manager (except Farm),3,2,5,74.73
21230,Farm Manager,3,2,5,87.02
21240,Contractor,3,2,5,71.01
21300,"Sales Manager, Specialisation Unknown",3,2,5,70.61
21320,Sales Manager (except Wholesale and Retail Trade),1,1,5,72.44
21330,Sales Manager (Wholesale Trade),3,2,5,70.61
21340,Sales Manager (Retail Trade),3,2,5,72.66
21400,Managers (Catering and Lodging Services),,,,
21420,Hotel and Restaurant Manager,1,1,5,87.02
21430,Restaurant Manager,3,2,42,77.79
21440,Ship's Purser,,,,
21490,Other Managers (Catering and Lodging Services),3,2,42,83.33
21900,Managers Not Elsewhere Classified,,,,
21920,Research and Development Manager,,,,
21940,Administration Manager,1,1,5,88.52
21950,Budgeting and Accounting Manager,1,1,5,80.54
21960,Transport Operations Managers,1,1,5,84.88
21970,Operations Manager (Postal or Telecommunications Services),1,1,5,80.54
21980,Industrial Relations and Personnel Manager,1,1,5,80.54
21990,Other Managers,1,1,5,89.86
22000,"Supervisor, Foreman or Inspector, Specialisation Unknown",3,2,3,68.72
22100,Clerical supervisors,3,2,42,57.95
22110,"Clerical Supervisor, General",3,2,42,79.5
22190,Other Clerical Supervisors,3,2,42,88.55
22200,Transport and Communications Supervisors,3,2,3,57.95
22210,Railway Station Master,3,2,42,82.68
22220,Postmaster,3,2,42,96.11
22230,Railway Service Supervisor,3,2,3,73.33
22235,Train Dispatcher,5,2,3,76.86
22240,Railway Transport Service Inspector,4,2,3,72.48
22245,Railway Goods Agent,4,2,3,72.48
22250,Road Transport Service Supervisor,3,2,3,76.86
22255,Road Passenger Transport Service Inspector,3,2,3,88.55
22260,Air Transport Service Supervisor,,,,
22265,Air Traffic Controller,,,,
22270,Flight Operations Officer,,,,
22275,Telecommunications Service Supervisor,3,2,42,76.86
22280,Postal Services Supervisor,3,2,42,76.86
22290,Other Transport and Communications Supervisors,3,2,3,72.48
22300,Sales Supervisors,3,2,3,57.95
22320,Sales Supervisor (Wholesale Trade),3,2,3,85.63
22330,Sales Supervisor (Retail Trade),3,2,3,85.63
22390,Other Sales Supervisors,3,2,3,85.63
22400,Housekeeping and Related Service Supervisors,3,2,3,69.7
22420,Housekeeper (except Private Service),6,2,3,51.38
22425,"Housekeeper (Private Service, in Hotels, or in Other Institutions)",6,2,3,51.38
22430,Housekeeper (Private Service),6,2,3,51.38
22440,House Steward,,,,
22450,Ship Chief Steward,6,2,3,64.54
22460,Housekeeping Matron,6,2,3,54.18
22490,Other Housekeeping and Related Service Supervisors,6,2,3,69.7
22500,Farm Supervisors,,,,
22520,Farm Supervisor,3,2,3,64.87
22600,Production Supervisors and General Foremen,3,2,3,62.77
22610,"Production Supervisor or Foreman, General",3,2,3,62.77
22620,"Supervisor and General Foreman (Mining, Quarrying and WellDrilling)",6,2,3,64.83
22630,Supervisor and General Foreman (Metal Processing),6,2,3,64.83
22640,Supervisor and General Foreman (Chemical and Related Materials Processing),6,2,3,64.83
22650,Supervisor and General Foreman (Manufacturing of Machinery and Metal Products),6,2,42,68.58
22655,Supervisor and General Foreman (Man. Electrical and Electronic Equipment),6,2,42,64.83
22660,"Supervisor and General Foreman (Man. Paper, Plastics, Rubber, etc.)",6,2,3,62.77
22665,Supervisor and General Foreman (Food and Beverages Processing),6,2,3,64.83
22670,Supervisor and General Foreman (Production of Textiles and Clothing Manufacturing),6,2,3,66.93
22675,Supervisor and General Foreman (Construction Work),6,2,3,78.55
22680,"Supervisor and General Foreman (Man. and Distribution of Electricity, Gas and Water)",6,2,3,73.41
22690,Other Production Supervisors and General Foremen,6,2,3,57.72
30000,"Clerical or Related Worker, Specialisation Unknown",5,2,42,72.87
31000,"Government Executive Official, Specialisation Unknown",5,2,5,88.41
31020,Tax Collector,4,2,42,90.51
31030,Tax Assessor,2,1,42,69.38
31040,Customs officer,4,2,42,68.18
31090,Government Executive Officials Not Elsewhere Classified,4,2,42,80.98
32000,"Stenographers, Typists and Card and TapePunching Machine Operators",,,,
32100,"Stenographers, Typists and Teletypists",,,,
32110,"StenographerTypist, General",5,2,42,81.38
32120,Stenographic Secretary,5,2,42,91.34
32130,Verbatim Reporter,,,,
32140,Typist,5,2,42,74.4
32150,Teletypist,,,,
32190,"Other Stenographers, Typists and Teletypists",,,,
32200,Card and TapePunching Machine Operators,,,,
32220,Card and TapePunching Machine Operator,5,2,42,71.8
32290,Other Card and TapePunching Machine Operators,,,,
33000,"Bookkeepers, Cashiers and Related Workers",,,,
33100,Bookkeepers and Cashiers,,,,
33110,"Bookkeeper, General",4,2,42,78.26
33120,Bookkeeping Clerk,4,2,42,76.13
33130,Office Cashier,5,2,42,76.13
33135,"Cashier, Office or Cash Desk",5,2,42,76.13
33140,Bank Teller,5,2,42,76.13
33150,Money Changer,5,2,42,76.13
33160,Cash Desk Cashier,5,2,42,76.13
33170,Post Office Counter Clerk,4,2,42,76.13
33190,Other Bookkeepers and Cashiers,5,2,42,76.13
33900,"Bookkeepers, Cashiers and Related Workers Not Elsewhere Classified",,,,
33920,Cost Computing Clerk,5,2,42,71.8
33930,Wages Clerk,5,2,42,71.8
33940,Finance Clerk,5,2,42,70.19
33990,"Other Bookkeepers, Cashiers and Related Workers",5,2,42,75.62
34000,Computing Machine Operators,,,,
34100,Bookkeeping and Calculating Machine Operators,,,,
34120,Bookkeeping Machine Operator,,,,
34130,Calculating Machine Operator,,,,
34200,Automatic DataProcessing Machine Operators,,,,
34220,Electronic Computer Operator,,,,
34230,PunchedCard Machine Operator,,,,
34290,Other Automatic DataProcessing Machine Operators,,,,
36000,"Transport Conductor, Specialisation Unknown",9,3,3,66.01
36020,Railway Passenger Train Guard,9,3,3,65.52
36030,Sleeping or PullmanCar Attendant,,,,
36040,Bus Conductor,9,3,3,58.4
36090,Other Transport Conductors,9,3,3,58.52
37000,"Mail Distribution Clerk, Specialisation Unknown",9,3,42,72.94
37010,"Mail Distribution Clerk, General",4,2,42,60.66
37020,Mail Sorting Clerk,9,3,42,75.08
37030,Postman,9,3,3,58.52
37040,Messenger,9,3,2,55.72
37090,Other Mail Distribution Clerks,9,3,2,59.9
38000,"Telephone or Telegraph Operator, Specialisation Unknown",4,2,42,73.43
38020,Telephone Switchboard Operator,9,3,42,60.66
38030,RadioTelephone Operator (LandBased),4,2,42,58.52
38040,Telegrapher,5,2,42,69.15
38050,Ship's Radio Officer,,,,
38060,Flight Radio Operator,,,,
38090,Other Telephone and Telegraph Operators,9,3,2,60.66
39000,Clerical and Related Workers Not Elsewhere Classified,,,,
39100,Stock Clerks,,,,
39110,"Stock Clerk, General",5,2,42,67.3
39120,Dispatching and Receiving Clerk,5,2,42,67.3
39130,Stock Records Clerk,,,,
39140,Storeroom Clerk,5,2,42,67.3
39150,Weighing Clerk,9,3,42,67.3
39190,Other Stock Clerks,5,2,42,67.3
39200,Material and Production Planning Clerks,,,,
39220,Material Planning Clerk,,,,
39230,Production Planning Clerk,5,2,42,69.59
39300,Correspondence and Reporting Clerks,,,,
39310,"Office Clerk, General",5,2,42,69.59
39320,Correspondence Clerk,5,2,42,69.05
39330,Personnel Clerk,5,2,42,67.3
39340,Legal Clerk,4,2,42,75.25
39350,Insurance Clerk,5,2,42,69.59
39390,Other Correspondence and Reporting Clerks,5,2,42,71.8
39400,Receptionists and Travel Agency Clerks,,,,
39410,"Receptionist, General",,,,
39420,Hotel Receptionist,,,,
39430,Doctor's or Dentist's Receptionist,5,2,42,71.8
39440,Travel Agency Clerk,5,2,42,71.8
39490,Other Receptionists and Travel Agency Clerks,5,2,3,71.8
39500,Library and Filing Clerks,,,,
