concept_or_term,kind,freq,n_actors,top_example,hisco,en_hisco,hisclass,hisclass_5,hiscam,match,needs_review
organised,term,1,1,organised and conducted new school at Hemel H,,,,,,none,yes
keeper,term,1,1,"keeper in the Department of Ceramics, Victori",,,,,,none,yes
cellarlad,term,1,1,cellarlad in a steel-making furnace,,,,,,none,yes
bottle-washer,term,1,1,bottle-washer in a chemical laboratory,,,,,,none,yes
had,term,1,1,At age 5 had to assist in bread-winning by do,,,,,,none,yes
adopted literature profession,term,1,1,"adopted literature as his profession, contrib",13215,Languages and Literature Teacher (Second Level),2,1,85.23,keyword,yes
assisted mother,term,1,1,Assisted mother in making bread and working o,,,,,,none,yes
wine merchant,term,1,1,apprenticed to a wine merchant (1887-93),53240,Wine Waiter,9,3,64.27,keyword,yes
cellarman,term,1,1,cellarman,,,,,,none,yes
recited,term,1,1,recited and sang in a theatre (1799),,,,,,none,yes
adopted writing profession,term,1,1,"adopted writing as a profession, c.1799/1800,",7310,Professional Midwife,4,2,55.54,keyword,yes
mill half-timer,term,1,1,Started work at local mill as a half-timer at,77130,Rice Miller,7,3,62.7,keyword,yes
owner,term,1,1,owner of College Poultry Farm at Theale (1910,,,,,,none,yes
other jobs between,term,1,1,employed in various other jobs between the ag,53190,Other Cooks,11,5,57.75,keyword,yes
chemist s lad,term,1,1,chemist’s lad,1110,"Chemist, General",2,1,85.58,keyword,yes
street urchin,term,1,1,street urchin,45220,Street Vendor,11,5,51.9,keyword,yes
billiard marker,term,1,1,billiard marker,83250,Metal Marker,7,3,57.25,keyword,yes
card-cutting room,term,1,1,"Started work in a card-cutting room at age 6,",54050,Chambermaid and Room Attendant,11,5,62.2,keyword,yes
half-time little piecer,term,1,1,"half-time ‘little piecer’ from age 8-13, then",,,,,,none,yes
cotton operative but,term,1,1,"worked as a cotton operative until aged 28, b",75432,Cotton Weaver (Hand or Machine),9,3,52.84,keyword,yes
paper oldham operative,term,1,1,"started own (short-lived) paper, the Oldham O",95925,Paperhanger,9,3,63.56,keyword,yes
editorial staff,term,1,1,on editorial staff of the London Evening Stan,,,,,,none,yes
boot-cleaner,term,1,1,boot-cleaner and tap-polisher in an hotel,,,,,,none,yes
advertising agency,term,1,1,employed in an advertising agency and as a th,44230,Advertising Salesman,4,2,73.25,keyword,yes
office,term,1,1,spent 7 years in the office of a literary age,58320,Officer,1,1,95.41,keyword,yes
received commissions enabled,term,1,1,received commissions which enabled him to dev,,,,,,none,yes
headmaster,term,1,1,headmaster (1857-68),,,,,,none,yes
book deliverer,term,1,1,book deliverer,33120,Bookkeeping Clerk,4,2,76.13,keyword,yes
collector,term,1,1,collector of subscriptions for commercial mag,31020,Tax Collector,4,2,90.51,keyword,yes
debt collector,term,1,1,debt collector of subscriptions for the Ladie,31020,Tax Collector,4,2,90.51,keyword,yes
hatter,term,1,1,hatter (c.1864-5),,,,,,none,yes
inspector,term,1,1,inspector of stores for Great Eastern Railway,13950,School Inspector,2,1,81.63,keyword,yes
commenced pit-lad,term,1,1,Commenced work as a pit-lad,,,,,,none,yes
tasks underground trapper,term,1,1,employed at various tasks underground (trappe,71160,Underground Timberman,9,3,50.56,keyword,yes
donkey,term,1,1,donkey and pony-driver,,,,,,none,yes
pony-putting,term,1,1,pony-putting,,,,,,none,yes
jack-of-all-trades,term,1,1,jack-of-all-trades,,,,,,none,yes
- he sold,term,1,1,From age 10-14 he sold newspapers after schoo,87260,Solderer (Hand),7,3,60.31,keyword,yes
earned money,term,1,1,Earned first money at age 10 as a pavement ar,33150,Money Changer,5,2,76.13,keyword,yes
timber carter s,term,1,1,engaged at a timber carter’s (1801-3),71160,Underground Timberman,9,3,50.56,keyword,yes
chemical works but,term,1,1,"employed in chemical works (to 1820), but for",2510,"Chemical Engineer, General",2,1,84.26,keyword,yes
general shop,term,1,1,took a general shop at Plaistow (1820-56),45190,"Other Salesmen, Shop Assistants and Demonstrators",5,2,73.19,keyword,yes
journeyman but unsuccessful,term,1,1,"journeyman before 21, but unsuccessful due to",,,,,,none,yes
casual jobs,term,1,1,Employed in casual jobs on leaving school bef,,,,,,none,yes
firm,term,1,1,apprenticed with a firm of electrical contrac,,,,,,none,yes
member,term,1,1,member of National Coal Board (1946-7),,,,,,none,yes
piecer,term,1,1,piecer (1876),,,,,,none,yes
bolton evening news,term,1,1,"employed by Bolton Evening News, compiling Po",45240,News Vendor,11,5,56.72,keyword,yes
produced papers labour,term,1,1,"produced his own papers, the Labour Light (18",99910,Labourer,11,5,57.34,keyword,yes
catton factory times,term,1,1,employed by the Catton Factory Times (1892-6),99930,Factory Worker,11,5,55.31,keyword,yes
kept shop,term,1,1,kept a small shop in Blackpool (1906-?),45190,"Other Salesmen, Shop Assistants and Demonstrators",5,2,73.19,keyword,yes
father s farm,term,1,1,Worked on father’s farm,21230,Farm Manager,3,2,87.02,keyword,yes
began underground miner,term,1,1,"then began 42 years underground, first as a m",71160,Underground Timberman,9,3,50.56,keyword,yes
had accountant s,term,1,1,had own accountant’s office in Manchester (?-,11010,"Accountant, General",2,1,77.81,keyword,yes
supported sons,term,1,1,supported by sons in later life,,,,,,none,yes
edited,term,1,1,"edited and published various newspapers, incl",,,,,,none,yes
assist mother,term,1,1,Left school (c.1834) to assist mother at home,6420,Dental Assistant,5,2,59.29,keyword,yes
apprentice millwright,term,1,1,apprentice millwright (1837-41),,,,,,none,yes
journeyman millwright,term,1,1,journeyman millwright (1841-3),,,,,,none,yes
opened tea shop,term,1,1,opened tea shop with borrowed capital (1847-5,45190,"Other Salesmen, Shop Assistants and Demonstrators",5,2,73.19,keyword,yes
ran temperance hotel,term,1,1,ran a temperance hotel (1852-3),21420,Hotel and Restaurant Manager,1,1,87.02,keyword,yes
staff,term,1,1,employed on the staff of the Commonwealth (18,,,,,,none,yes
curator,term,1,1,curator of Anderson’s College and Museum (185,19140,Art Gallery and Museum Curator,2,1,87.02,keyword,yes
geological survey unit,term,1,1,joined the Geological Survey unit of the Civi,3020,Land Surveyor,4,2,78.43,keyword,yes
london rifle brigade,term,1,1,served in the London Rifle Brigade during Wor,,,,,,none,yes
colliery worker door-boy,term,1,1,"colliery worker as ‘door-boy’, labourer, repa",62970,Peat Worker,11,5,49.47,keyword,yes
wrote,term,1,1,"wrote and published articles on politics, eco",,,,,,none,yes
addressing envelopes,term,1,1,employed addressing envelopes (c.1929),,,,,,none,yes
ministry,term,1,1,"returned to the ministry (1939), and ordained",,,,,,none,yes
apprentice picture-framer,term,1,1,apprentice picture-framer (to age 20),,,,,,none,yes
milliner s,term,1,1,employed at a milliner’s,79390,Other Milliners and Hat Makers,9,3,61.29,keyword,yes
service,term,1,1,in service at a firm of leading Manchester me,43130,Technical Service Adviser,4,2,72.37,keyword,yes
public recitations,term,1,1,held public recitations,15960,Publicity Writer,2,1,80.5,keyword,yes
vocalist,term,1,1,vocalist,,,,,,none,yes
unemployed,term,1,1,unemployed in early 1890s but active in organ,,,,,,none,yes
ever since leaving,term,1,1,Ever since leaving school his occupation had ,,,,,,none,yes
building news,term,1,1,Building News (from 1862),93120,Building Painter,9,3,57.72,keyword,yes
interrupted military service,term,1,1,career interrupted by military service (1914-,58300,Military,9,3,59.45,keyword,yes
resumed former,term,1,1,resumed former job on discharge but from 1920,89100,"Glass Formers, Cutters, Grinders and Finishers",9,3,59.2,keyword,yes
employment,term,1,1,First employment was in a rope and twine fact,,,,,,none,yes
calico print works,term,1,1,then employed at calico print works (1833) an,92950,Textile Printer,7,3,64.66,keyword,yes
tramp',term,1,1,‘on the tramp',,,,,,none,yes
warper,term,1,1,warper (1845-6),,,,,,none,yes
headmistress,term,1,1,headmistress (1859),,,,,,none,yes
print shops,term,1,1,worked in various print shops in London until,92950,Textile Printer,7,3,64.66,keyword,yes
father accepting offer,term,1,1,"returned to work with father, before acceptin",,,,,,none,yes
opened office,term,1,1,opened an office in Southend in 1872,58320,Officer,1,1,95.41,keyword,yes
wrote fiction,term,1,1,wrote fiction and serial stories,,,,,,none,yes
reader,term,1,1,reader and general literary assistant (1853-4,39940,Proof Reader,5,2,71.8,keyword,yes
ship s steward,term,1,1,ship’s steward of the (1909-10),4240,Ship Pilot,4,2,66.47,keyword,yes
albion motor works,term,1,1,employed in the Albion Motor Works (1910-12/1,98540,Motor Bus Driver,9,3,59.36,keyword,yes
apprentice engraver,term,1,1,apprentice engraver (1882-9),89420,Glass Engraver,7,3,54.66,keyword,yes
factory worker,term,1,1,Factory worker at a gas meter manufactory (19,99930,Factory Worker,11,5,55.31,exact,
ship-boy,term,1,1,Ship-boy on a coaster,,,,,,none,yes
possessed two sinecures,term,1,1,possessed two sinecures as comptroller of the,,,,,,none,yes
commenced full-time,term,1,1,commenced full-time work for firm of locomoti,,,,,,none,yes
chorister,term,1,1,Chorister (1865-8),,,,,,none,yes
national telephone company,term,1,1,started work for the National Telephone Compa,38020,Telephone Switchboard Operator,9,3,60.66,keyword,yes
electrician,term,1,1,"became an electrician in 1884/5, eventually s",85510,"Electrician, General",7,3,64.79,keyword,yes
hours day going,term,1,1,Was working for 4 hours a day before going to,,,,,,none,yes
continued sweep playing,term,1,1,"continued as a sweep until age 14, also playi",55240,Chimney Sweep,11,5,55.09,keyword,yes
one chair-bottomer,term,1,1,worked for one year as a chair-bottomer in Ca,,,,,,none,yes
performed general caretaking,term,1,1,performed general caretaking duties at Whitti,,,,,,none,yes
chimney-sweeping,term,1,1,returned to chimney-sweeping and playing the ,,,,,,none,yes
theatres,term,1,1,employed at theatres in Blackpool and Southpo,,,,,,none,yes
drove plough,term,1,1,At age 9 drove plough for uncle and then work,,,,,,none,yes
surface-worker,term,1,1,"surface-worker at Dolcoath mine, dressing and",,,,,,none,yes
underground copper-miner -,term,1,1,underground copper-miner (1832-,71160,Underground Timberman,9,3,50.56,keyword,yes
upwards,term,1,1,upwards of 20 years),,,,,,none,yes
tributer,term,1,1,‘tributer’ (labouring for a certain portion o,,,,,,none,yes
scripture-reader,term,1,1,scripture-reader in Falmouth (from 1857),,,,,,none,yes
earn living errand-boy,term,1,1,Started to earn living as an errand-boy,,,,,,none,yes
apprentice iron-moulder,term,1,1,apprentice iron-moulder (from age 12),,,,,,none,yes
labour newspaper,term,1,1,worked for Labour newspaper in Newcastle (189,99910,Labourer,11,5,57.34,keyword,yes
e newcastle,term,1,1,E. Newcastle (1923),,,,,,none,yes
burnley,term,1,1,Burnley (1924-31),,,,,,none,yes
clay cross parliamentary,term,1,1,Clay Cross (1933-5). Parliamentary leader of ,89930,Clay Mixer,9,3,58.52,keyword,yes
teaching,term,1,1,"left teaching to study and practice medicine,",,,,,,none,yes
opened shop druggist,term,1,1,opened shop as druggist and stationer,45190,"Other Salesmen, Shop Assistants and Demonstrators",5,2,73.19,keyword,yes
evangelist,term,1,1,evangelist,,,,,,none,yes
pursued literary,term,1,1,pursued a literary career (1810-16),,,,,,none,yes
assisted parents,term,1,1,Assisted parents in hawking various wares (17,,,,,,none,yes
prompter,term,1,1,prompter at a Dublin theatre (1770-1),,,,,,none,yes
strolling player,term,1,1,strolling player in England and Scotland (177,,,,,,none,yes
foundry,term,1,1,left foundry in 1839 and made a living by sch,,,,,,none,yes
lather-boy,term,1,1,First job (at age 8) was as lather-boy in a b,,,,,,none,yes
collier,term,1,1,collier,,,,,,none,yes
president,term,1,1,elected president of South Wales Miners’ Fede,,,,,,none,yes
national coal production,term,1,1,appointed National Coal Production Officer (1,74925,CoalGas Maker,9,3,60.25,keyword,yes
assisted father mortar-boy,term,1,1,assisted father as mortar-boy and timekeeper ,,,,,,none,yes
launched private liberal,term,1,1,launched a private Liberal Registration and E,58240,Private Police Guard,5,2,61.25,keyword,yes
sought financial independence,term,1,1,sought financial independence by setting up A,,,,,,none,yes
edit imperial white,term,1,1,engaged to edit the Imperial White Books (188,15920,"Editor, Newspapers and Periodicals",2,1,82.12,keyword,yes
withdrew,term,1,1,withdrew from political life in 1895 and devo,,,,,,none,yes
machine-ruler,term,1,1,Machine-ruler at paper mill (1865-71),,,,,,none,yes
same trade,term,1,1,worked in same trade in various shops in Lond,45130,Retail Trade Salesperson,5,2,58.02,keyword,yes
silk mill,term,1,1,Started work in a silk mill (1730-7),77130,Rice Miller,7,3,62.7,keyword,yes
uncle stocking-maker,term,1,1,apprenticed to uncle as a stocking-maker (173,,,,,,none,yes
journeyman stockinger,term,1,1,journeyman stockinger,,,,,,none,yes
taught himself bookbinding,term,1,1,"taught himself bookbinding, and set himself u",,,,,,none,yes
invested money,term,1,1,invested money in business ventures and land ,33150,Money Changer,5,2,76.13,keyword,yes
occasional ramblings through,term,1,1,made ‘occasional ramblings’ through the neigh,,,,,,none,yes
chemist,term,1,1,apprenticed to a chemist when aged about 14,1110,"Chemist, General",2,1,85.58,keyword,yes
travelling salesmanfor chemist,term,1,1,travelling salesmanfor chemist,1110,"Chemist, General",2,1,85.58,keyword,yes
house governor,term,1,1,House Governor of Charing Cross Hospital (192,54020,House Servant,11,5,41.43,keyword,yes
uncle ironmonger,term,1,1,"Apprenticed to an uncle, an ironmonger (1 yea",,,,,,none,yes
began pit-face worker,term,1,1,"Began as a pit-face worker at age 12, and wor",62970,Peat Worker,11,5,49.47,keyword,yes
variously forester,term,1,1,also variously employed as a forester,,,,,,none,yes
door-boy,term,1,1,Door-boy at local colliery,,,,,,none,yes
collier-boy,term,1,1,collier-boy,,,,,,none,yes
haulier,term,1,1,haulier,,,,,,none,yes
engine cleaner,term,1,1,engine cleaner,2440,Marine Engineer,2,1,82.58,keyword,yes
violinist,term,1,1,violinist in music hall orchestra,,,,,,none,yes
rent-collector,term,1,1,rent-collector,,,,,,none,yes
newspaper-seller,term,1,1,Newspaper-seller,,,,,,none,yes
odd-jobs,term,1,1,odd-jobs,,,,,,none,yes
cook,term,1,1,cook and rope-boy on fishing smacks,53120,Head Cook,6,2,57.66,keyword,yes
ran tea business,term,1,1,ran a tea business,,,,,,none,yes
dominion,term,1,1,employed by the Dominion and the Evening Post,,,,,,none,yes
business newsagent,term,1,1,in business as a newsagent,,,,,,none,yes
half-time learner,term,1,1,"half-time learner in a cotton mill, and full-",,,,,,none,yes
chain-horse lad,term,1,1,chain-horse lad for the London and North West,,,,,,none,yes
carter,term,1,1,carter,,,,,,none,yes
capstan man,term,1,1,capstan man,,,,,,none,yes
accepted post,term,1,1,accepted post (in 1920) in the Political Inte,37030,Postman,9,3,58.52,keyword,yes
articled,term,1,1,was articled to a garment-dyer but soon left ,,,,,,none,yes
dyer,term,1,1,later employed as a dyer,75620,Yarn Dyer,9,3,58.68,keyword,yes
again,term,1,1,worked again for short time as office-boy bef,,,,,,none,yes
coal-heaver,term,1,1,"coal-heaver, in partnership with brother (to ",,,,,,none,yes
father-in-law s sawmill,term,1,1,employed in father-in-law’s sawmill and venee,,,,,,none,yes
re-elected,term,1,1,re-elected in 1922 and served until 1940,,,,,,none,yes
probationer,term,1,1,probationer for the Methodist ministry (1895),,,,,,none,yes
manufactured,term,1,1,manufactured and hawked plain and fancy vests,,,,,,none,yes
cow-minder,term,1,1,Cow-minder (1836),,,,,,none,yes
firework-maker,term,1,1,firework-maker,,,,,,none,yes
rural postboy,term,1,1,rural postboy,,,,,,none,yes
remaining,term,1,1,remaining in the tailoring trade for almost 7,,,,,,none,yes
wood-engraver,term,1,1,Apprenticed to a wood-engraver in 1828,,,,,,none,yes
established reputation best,term,1,1,established reputation as the best wood-engra,,,,,,none,yes
editorial,term,1,1,entered into various editorial and publishing,,,,,,none,yes
english republic,term,1,1,the English Republic,,,,,,none,yes
illuminated magazine,term,1,1,the Illuminated Magazine,,,,,,none,yes
pen,term,1,1,Pen and Pencil,,,,,,none,yes
shuttle-maker twister-in jobber,term,1,1,"subsequently worked as a shuttle-maker, ‘twis",,,,,,none,yes
apprentice rope-maker,term,1,1,Apprentice rope-maker (c.1814-21),,,,,,none,yes
fisherman,term,1,1,fisherman (one season),64120,DeepSea Fisherman,10,5,46.18,keyword,yes
cabinet-maker,term,1,1,cabinet-maker (to 1828),81120,Cabinetmaker,7,3,57.2,exact,
opened pastry,term,1,1,opened a pastry and confectionery shop (1828),77630,Pastry Maker,7,3,70.12,keyword,yes
storekeeper,term,1,1,storekeeper of London Co-operative Trading As,,,,,,none,yes
ran coffee-shop,term,1,1,ran a coffee-shop (1834-6),,,,,,none,yes
arrested,term,1,1,arrested and imprisoned on charge of seditiou,,,,,,none,yes
deck hand,term,1,1,deck hand and first engineer in the merchant ,4250,Marine Superintendent (Deck),3,2,51.95,keyword,yes
receipt,term,1,1,in receipt of a Civil List Pension,,,,,,none,yes
gang,term,1,1,joined a gang of potato-pickers in Scotland i,,,,,,none,yes
dundee cotton mill,term,1,1,Started work at an early age in a Dundee cott,75432,Cotton Weaver (Hand or Machine),9,3,52.84,keyword,yes
mines,term,1,1,went down the mines at age 10 (to 1870),,,,,,none,yes
apprentice tool-maker,term,1,1,apprentice tool-maker (1870-6),,,,,,none,yes
co-founder,term,1,1,co-founder and president of the International,,,,,,none,yes
abroad,term,1,1,spent many years abroad and travelling,,,,,,none,yes
cardroom,term,1,1,at age 8 was employed in the cardroom and thi,,,,,,none,yes
apprentice machine-grinder,term,1,1,apprentice machine-grinder (1838-43),,,,,,none,yes
journeyman grinder timekeeper,term,1,1,"journeyman grinder, timekeeper and foreman in",73320,Wood Grinder,9,3,56.7,keyword,yes
dentist,term,1,1,dentist (1861-),6310,"Dentist, General",2,1,89.61,keyword,yes
young,term,1,1,Started work at a young age for a whip-cord m,,,,,,none,yes
brick manufactory becoming,term,1,1,subsequently worked in a brick manufactory be,89360,Brick and Tile Kilnman,9,3,48.65,keyword,yes
bank accountant,term,1,1,bank accountant (1832-40),33140,Bank Teller,5,2,76.13,keyword,yes
ship s pilot,term,1,1,"subsequently worked as a ship’s pilot, cook a",4240,Ship Pilot,4,2,66.47,keyword,yes
switchboard operator,term,1,1,switchboard operator,38020,Telephone Switchboard Operator,9,3,60.66,keyword,yes
british council,term,1,1,worked for the British Council in Edinburgh (,,,,,,none,yes
warden,term,1,1,warden of Newbattle Abbey (1950-5),,,,,,none,yes
barrister middle temple,term,1,1,"barrister, Middle Temple (1881)",,,,,,none,yes
dean,term,1,1,"Dean of Faculty of Laws, University of London",,,,,,none,yes
combined schooling,term,1,1,Combined schooling with hawking bread and cak,,,,,,none,yes
representative,term,1,1,representative of the Communist Party of Grea,,,,,,none,yes
cooper,term,1,1,cooper,81930,Cooper,7,3,53.81,exact,
sawyer,term,1,1,sawyer,73210,"Sawyer, General",9,3,57.06,keyword,yes
miner,term,1,1,miner,71105,"Miner, General",9,3,50.56,keyword,yes
master basket-maker combined,term,1,1,"master basket-maker (1882-96), combined with ",4215,Ship's Master (Sea),3,2,78.25,keyword,yes
account,term,1,1,and on own account at age 19 running a small ,11010,"Accountant, General",2,1,77.81,keyword,yes
writing letterpress,term,1,1,employed writing the letterpress and many of ,,,,,,none,yes
supported himself miscellaneous,term,1,1,subsequently supported himself by miscellaneo,,,,,,none,yes
newspaper office nominally,term,1,1,"First job was in a newspaper office, nominall",15920,"Editor, Newspapers and Periodicals",2,1,82.12,keyword,yes
abandoned trade,term,1,1,abandoned this trade by age of 16 to work as ,45130,Retail Trade Salesperson,5,2,58.02,keyword,yes
domestic workers,term,1,1,"Took work to domestic workers for mother, who",54010,"Domestic Servant, General",9,3,41.43,keyword,yes
