aid,year,structure,category,sequence,weight
newcastle_weekly_chronicle,1901,D,aspirant,D,0.08
oddfellows_sunday_school,1838,A,established,A,0.12
oddfellows_sunday_school,1854,A,established,A,0.4
oddfellows_sunday_school,1878,A,established,A,0.08
oldham_express,1904,D,aspirant,D,0.12
oldham_express,1924,D,aspirant,D,0.55
oldham_express,1955,D,aspirant,D,0.08
oldham_operative,1884,D,aspirant,D,0.12
oldham_operative,1902,D,aspirant,D,0.6
oldham_operative,1928,D,aspirant,D,0.08
railway_review,1897,D,aspirant,D,0.12
railway_review,1914,D,aspirant,D,0.4
railway_review,1940,D,aspirant,D,0.08
rand_daily_mail,1902,D,aspirant,D,0.12
rand_daily_mail,1924,D,aspirant,D,0.45
rand_daily_mail,1956,D,aspirant,D,0.08
reading_university_college,1895,A,established,A,0.12
reading_university_college,1915,A,established,A,0.6
reading_university_college,1945,A,established,A,0.08
reuters,1891,D,aspirant,D,0.12
reuters,1909,D,aspirant,D,0.6
reuters,1936,D,aspirant,D,0.08
secular_review,1876,A,established,A,0.12
secular_review,1895,A,established,A,0.6
secular_review,1923,A,established,A,0.08
shrewsbury_school,1912,A,established,A,0.12
shrewsbury_school,1928,A,established,A,0.6
shrewsbury_school,1952,A,established,A,0.08
st_andrews_university,1876,A,established,A,0.12
st_andrews_university,1892,A,established,A,0.6
st_andrews_university,1916,A,established,A,0.08
sunday_school_times,1889,A,established,A,0.12
sunday_school_times,1909,A,established,A,0.4
sunday_school_times,1938,A,established,A,0.08
sunday_worker,1921,A,established,A,0.12
sunday_worker,1937,A,established,A,0.5
sunday_worker,1961,A,established,A,0.08
teddy_ashton_s_journal,1896,A,established,A,0.12
teddy_ashton_s_journal,1914,A,established,A,0.4
teddy_ashton_s_journal,1941,A,established,A,0.08
temperance_and_general_provi,1853,A,established,A,0.12
temperance_and_general_provi,1874,A,established,A,0.6
temperance_and_general_provi,1906,A,established,A,0.08
university_college,1883,A,established,A,0.12
university_college,1897,A,established,A,0.6
university_college,1918,A,established,A,0.08
university_of_london,1914,A,established,A,0.12
university_of_london,1928,A,established,A,0.6
university_of_london,1950,A,established,A,0.08
victoria_and_albert_museum,1938,A,established,A,0.12
victoria_and_albert_museum,1949,A,established,A,0.6
victoria_and_albert_museum,1966,A,established,A,0.08
workman_s_times,1891,D,aspirant,D,0.12
workman_s_times,1905,D,aspirant,D,0.55
workman_s_times,1926,D,aspirant,D,0.08
yorkshire_factory_times,1889,D,aspirant,D,0.12
yorkshire_factory_times,1903,D,aspirant,D,0.45
yorkshire_factory_times,1924,D,aspirant,D,0.08
