aid,annee,structure,categorie,sequence,poids
rand_daily_mail,1902,D,aspirant,D,0.12
rand_daily_mail,1924,D,aspirant,D,0.45
rand_daily_mail,1956,D,aspirant,D,0.08
reading_university_college,1895,A,controle,A,0.45
reading_university_college,1966,A,controle,A,0.45
reuters,1891,D,controle,D,0.6
reuters,1966,D,controle,D,0.6
secular_review,1876,A,controle,D,0.42
secular_review,1966,A,controle,D,0.42
shrewsbury_school,1912,A,controle,A,0.35
shrewsbury_school,1966,A,controle,A,0.35
st_andrews_university,1876,A,controle,A,0.6
st_andrews_university,1966,A,controle,A,0.6
sunday_school_times,1889,A,controle,D,0.3
sunday_school_times,1966,A,controle,D,0.3
sunday_worker,1921,A,etabli,A,0.12
sunday_worker,1937,A,etabli,A,0.5
sunday_worker,1961,A,etabli,A,0.08
teddy_ashton_s_journal,1896,A,etabli,A,0.12
teddy_ashton_s_journal,1914,A,etabli,A,0.4
teddy_ashton_s_journal,1941,A,etabli,A,0.08
temperance_and_general_provi,1853,C,controle,D,0.35
temperance_and_general_provi,1966,C,controle,D,0.35
university_college,1883,A,controle,A,0.45
university_college,1966,A,controle,A,0.45
university_of_london,1914,A,controle,A,0.6
university_of_london,1966,A,controle,A,0.6
victoria_and_albert_museum,1938,A,controle,D,0.45
victoria_and_albert_museum,1966,A,controle,D,0.45
workman_s_times,1891,D,aspirant,D,0.12
workman_s_times,1905,D,aspirant,D,0.55
workman_s_times,1926,D,aspirant,D,0.08
yorkshire_factory_times,1889,D,aspirant,D,0.12
yorkshire_factory_times,1903,D,aspirant,D,0.45
yorkshire_factory_times,1924,D,aspirant,D,0.08
parliamentary_oversight_illus,1870,B,controle,B,0.45
parliamentary_oversight_illus,1966,B,controle,B,0.45
royal_commission_illus,1860,B,controle,D,0.4
royal_commission_illus,1966,B,controle,D,0.4
